time,power_demand,day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Federal Holiday,Academic Break,Max Connected Users
2020-11-05 10:00:00,25144,Thursday,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
2020-11-05 11:00:00,15733,Thursday,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
2020-11-05 12:00:00,0,Thursday,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
2020-11-05 13:00:00,0,Thursday,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
2020-11-05 14:00:00,0,Thursday,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1
2020-11-05 15:00:00,0,Thursday,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0
2020-11-05 16:00:00,0,Thursday,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0
2020-11-05 17:00:00,0,Thursday,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0
2020-11-05 18:00:00,0,Thursday,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0
2020-11-05 19:00:00,0,Thursday,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0
2020-11-05 20:00:00,0,Thursday,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0
2020-11-05 21:00:00,0,Thursday,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0
2020-11-05 22:00:00,0,Thursday,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0
2020-11-05 23:00:00,0,Thursday,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0
2020-11-06 00:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 01:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 02:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 03:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 04:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 05:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 06:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 07:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 08:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 09:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 10:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 11:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 12:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 13:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 14:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 15:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 16:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 17:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 18:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 19:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 20:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 21:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 22:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-06 23:00:00,0,Friday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0
2020-11-07 00:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 01:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 02:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 03:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 04:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 05:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 06:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 07:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 08:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 09:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 10:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 11:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 12:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 13:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 14:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 15:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 16:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 17:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 18:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 19:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 20:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 21:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 22:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-07 23:00:00,0,Saturday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0
2020-11-08 00:00:00,0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
2020-11-08 01:00:00,0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
2020-11-08 02:00:00,0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
2020-11-08 03:00:00,0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
2020-11-08 04:00:00,0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
2020-11-08 05:00:00,0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
2020-11-08 06:00:00,0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
2020-11-08 07:00:00,0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
2020-11-08 08:00:00,0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
2020-11-08 09:00:00,0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
2020-11-08 10:00:00,0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
2020-11-08 11:00:00,0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
2020-11-08 12:00:00,0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
2020-11-08 13:00:00,0,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
